Model,R_Squared,RMSE,Barrier_Coefficient,Sample_Size
Baseline,1.0537326445514417e-05,99.2851996555405,0.005700784798212705,613744
With SES Control,0.0008396382760076371,99.24403196027377,0.06900209059521599,613744
With Country Fixed Effects,0.32257160459448353,81.71814508214712,-0.34660780496191373,613744
