Coefficient,Value
barrier,-0.35407024714731594
attitude,-31.38567514635485
barrier_x_attitude,-0.2108546406357107
ses,0.2974549872526359
intercept,-2.6267593764429638
R_squared,0.04137380722214068
Adj_R_squared,0.041367559444549284
RMSE,80.37005682057988
Sample_Size,613744.0
