Score Cluster,Average Learners,Disengaged Learners,Proactive Learners
high,750145.8269599985,9281.991320000001,591450.3361800002
low,7174877.558409978,1832784.4767399947,10911522.92630002
middle,3231058.4968300234,150943.15265999996,2661557.581319988
