Cluster,Sample Count,Weighted Population,Population %
Proactive Learners,54761,1993009.6207199965,7.296760552008368
Average Learners,209105,14164530.843799843,51.85885146977177
Disengaged Learners,330732,11156081.882199924,40.844387978219515
